Название константы;Значение
Постоянная Авогадро;602214076000000000000000
Скорость света в вакууме;299792458
Постоянная Планка;0.000000000000000000000000000000662599999999999987956386006995254489188083253487196171814150972506719258371525073381125281457570963539183139801025390625
Элементарный заряд;0.0000000000000000001602176620000000090102397180030126841783915455538937831596324468108605287852697074413299560546875
Масса электрона;0.00000000000000000000000000000091089999999999992597220984869464746732428857485363133921580418104747128728085055031360450783495252835564315319061279296875
Масса протона;0.000000000000000000000000001672621899999999996090738617075181924244503388406096527206334146551831311942881708176855681813322007656097412109375
Масса нейтрона;0.0000000000000000000000000016749275000000001662771983726002406799690938848159506148981224532326628727518791350803439854644238948822021484375
Больцмановская постоянная;0.00000000000000000000000001380648999999999968174240744915657714552663233711172089238001320650570287462688412460920517332851886749267578125
Газовая постоянная;8.314462618153239503726581460796296596527099609375
Постоянная Фарадея;96485.3321233100141398608684539794921875
Постоянная Ридберга;10973731.56815999932587146759033203125
Постоянная Стефана-Больцмана;0.00000005670373000000000266959156169921385526322410441935062408447265625
Плотность воды (при 25°C);997
Плотность этанола;789
Плотность метана;0.71699999999999997069011214989586733281612396240234375
Плотность железа;7874
Плотность оксида кремния;2200
Плотность натрия;970
Плотность кислорода;1.4290000000000000479616346638067625463008880615234375
Плотность гелия;0.17849999999999999200639422269887290894985198974609375
Плотность углекислого газа;1.9770000000000000905941988094127736985683441162109375
Плотность серы;1960
Плотность алюминия;2700
Плотность меди;8960
Плотность цинка;7135
Плотность свинца;11340
Плотность глицерина;1261
Плотность рапсового масла;900
Плотность ацетона;791
Плотность хлороформа;1.4779999999999999804600747665972448885440826416015625
Плотность оливкового масла;920
Плотность подсолнечного масла;920
Плотность кокосового масла;925
Плотность касторового масла;961
Плотность метилового спирта;792
Плотность изопропилового спирта;785
Плотность этилового спирта;789
Плотность раствора кофе;1000
Плотность молока;1027
Плотность сгущенного молока;1350
Плотность концентрированного апельсинового сока;1090
Плотность яблочного сока;1070
Плотность виноградного сока;1090
Плотность меда;1360
Плотность сотового меда;840
Плотность пластмассы;1380
Плотность ацетата целлюлозы;1.3000000000000000444089209850062616169452667236328125
Плотность нитроцеллюлоза;1.6599999999999999200639422269887290894985198974609375
Плотность крахмала;1.5
Плотность медного сплава;8.4000000000000003552713678800500929355621337890625
Плотность оловянного сплава;7.4000000000000003552713678800500929355621337890625
Плотность чугуна;7.20000000000000017763568394002504646778106689453125
Плотность стали;7800
Плотность магния;1738
Плотность платины;21450
Плотность амальгамы;13.5
Плотность нейзильбера;10500
Плотность полистирола;1040
Плотность полиэтилена;910
Плотность полипропилена;910
Плотность поливинилхлорида (ПВХ);1400
Плотность сахара;1586
Плотность кухонной соли;2160
Плотность магнезия;1738
Плотность кальция;1550
Плотность золота;19300
Плотность алмаза;3500
Плотность мрамора;2700
Плотность гранита;2600
Плотность песка;1600
Плотность льда;920
Плотность обычного стекла;2500
Плотность стекла (пирекс);2230
Плотность мыла;900
Плотность воздуха;1.225000000000000088817841970012523233890533447265625
Плотность фосфора;1823
