Название константы;Значение
Значение pi;3.14159265358979323846264338327950288419716939937510582097494459
Значение tau(2pi);6.28318530717958647692528676655900576839433879875021164194988918
Сверхзолотое сечение;1.4655712318767682
Соединительная константа для гексагональной решетки;1.8477590650225735
Постоянная Кеплера–Бувкампа;0.1149420448532962
Постоянная Уоллиса;2.0945514815423265
Число Эйлера;2.71828182845904523536028747135266249775724709369995957496696763
Натуральный логарифм 2;0.6931471805599453
Постоянная лемнискаты;1.47500614737042035335461504544418294308555101785265335700487482
Постоянная Эйлера;0.577215664901532860606512090082402431042159335939923598805767235
Постоянная Эрдеша–Борвейна;0.842406572244788048158277168690039115118531941228543410471588094
Постоянная Омега;0.567143290409783872999968662210355549753815787186512508135131079
Константа Апери;1.20205690315959428539973816151144999076498629234049888179227156
Предел Лапласа;0.662743419349181580974742097109252907056233507236234158254799
Константа Зельднера;1.85407467730137191843385034719526004621759882352176690558592804
Постоянная Гаусса;0.000000000066743
Вторая постоянная Эрмита;10.0265130985240020096630611392441810120279469624397532665196943
Постоянная Лиувилля;0.110001000000000000000001
Первая непрерывная дробь константа;0.235711131719232931374143475976
Постоянная Рамануджана;262537412640768743.999999999999250073
Постоянная Глейшера–Кинкелина;1.2824271291006226368753425688697917287136463877
Константа Каталана;0.91596559417721901505460351493238411077414937428167
Число Дотти;0.739085133215160641655312087673873404013411758900757464965680636
Постоянная Мейсселя–Мертенса;0.2614972128476427837554268386086958590516
Универсальная параболическая постоянная;2.295587149392638
Константа Каэна;0.91596559417721901505460351493238411077414937428167213426649812
Константа Гельфонда;23.1406926327792690057290863679485473802661062426002119934450464
Постоянная Гельфонда-Шнейдера;2.66514414269022518865029724987313984827421131371465949283597959
Вторая константа Фавара;1.2337005501361697
Золотой угол;2.39996322972865332223155550663368150251
Константа Серпинского;2.5849817595792532
Постоянная Ландау–Рамануджана;0.76422365358922066299069873125009232
Первая постоянная Нильсена–Рамануджана;0.8224670334241132
Константа Гизекинга;1.20919957615614523372938550509477048818937749872849371704658996
Постоянная Бернштейна;0.2801694990238691
Константа Трибоначчи;1.8392867552141612
Постоянная Бруна;1.902160583104
Константа простых чисел - близнецов;0.6601618158468696
Коэффициент пластичности;1.324717957244746
Z - балл для 97,5 процентиля;1.9599639845400543
Постоянная Пруэ-Туэ–Морзе;0.4124540336401076
Постоянная Голомба–Дикмана;0.6243299885435508
Константа, связанная с асимптотическим поведением констант Лебега;0.9894312738311469
Константа Феллера–Торнье;0.6613170494696223
Константа Шамперноуна;0.12345678910111213
Константа Салема;1.1762808182599176
Константа Хинчина;2.6854520010653062
Константа Леви (1);1.1865691104156255
Константа Леви (2);3.2758229187218113
Константа Коупленда–Эрдеша;0.23571113171923294
Константа Миллса;1.3063778838630806
Константа Гомперца;0.5963473623231941
Постоянная Ван дер Пау;4.532360141827194
Магический угол;0.9553166181245093
Постоянная Артина;0.37395581361920227
Постоянная Портера;1.4670780794339755
Постоянная Лох;0.9702701143920339
Постоянная тессеракта Девиччи;1.0074347568842794
Квадратная ледяная постоянная Либа;1.539600717839002
Постоянная Нивена;1.7052111401053678
Константа Стивенса;0.5759599688929454
Обычная последовательность сворачивания бумаги;0.8507361882018672
Обратная постоянная Фибоначчи;3.3598856662431777
Константа Фейгенбаума;4.66920160910299
Константы Чайтина;0.007874996997812385
Константа Роббинса;0.6617071822671763
Константа Вейерштрасса;0.47494937998792064
Постоянная Франсена–Робинсона;2.8077702420285195
Feigenbaum constant α;2.5029078750958926
Вторая константа Дюбуа-Реймона;0.19452804946532512
Постоянная Эрдеша–Тененбаума–Форда;0.0860713320559342
Константа Конвея;1.3035772690342964
Постоянная Хафнера–Сарнака-Маккерли;0.353236371854996
Константа Бэкхауса;1.4560749485826896
Константа Вишваната;1.1319882487943
Постоянная Коморника–Лорети;1.787231650182966
Константа Эмбре–Трефетена;0.70258
Постоянная Хита–Брауна-Мороза;0.001317641154853178
Константа MRB;0.18785964246206713
Простая константа;0.41468250985111166
Квадратичная рекуррентная константа Сомоса;1.6616879496335941
Постоянная Фояса;1.1874523511265012
Логарифмическая емкость единичного диска;0.5901702995080481
Константа Танигути;0.6782344919173919
Константа Базилио;1.504
Константа Дирихле;1.2824
Константа Тюринга;0.353236371854995
Константа Линделофа;0.5
Константа Сильвестра;2.337
Константа Лежандра;1.13198824
Константа Раппопорта;0.888899
Константа Тьюринга-Майнцела;0.574713
Константа Дюдика;0.876627
Константа Бауэра;1.543377
Константа Голомбо;0.62432998854355
Константа Плата;0.927054
Константа Непера;1.915319464183
Константа Капрекара;6174
Константа Пирса;1.291285997062663
Константа Ламберта;0.567143290409784
Константа Эйлера-Бруноуи;1.606695152415291
Константа Гомера;0.824
Константа Фейера;1.202056903159594
Постоянная Пи-два;1.5707963267948966
Постоянная Пи-три;1.0471975511965976
Постоянная Пи-четыре;0.7853981633974483
